Brand,Discount,Price,Product Name,Rating,Reviewer
OPPO,0%,1825000.0,OPPO A12 Smartphone [3GB/ 32GB],5.0,1.0
OPPO,0%,2799000.0,OPPO A31 Smartphone [128GB/4GB],5.0,3.0
OPPO,0%,3999000.0,"Oppo A9 (2020) (Space Purple, 128 GB)",0.0,0.0
OPPO,0%,1899000.0,OPPO A5S Smartphone [32GB/3GB],4.0,717.0
OPPO,0%,3799000.0,OPPO A9 (2020) Smartphone [8GB/ 128GB],4.0,529.0
OPPO,0%,4999000.0,OPPO Reno 2F Smartphone [128GB/ 8GB],4.0,88.0
OPPO,0%,2099000.0,OPPO A5S Smartphone [3/ 32 GB] Blue,4.0,912.0
OPPO,0%,3699000.0,"Oppo K3 (Morning White, 64 GB)",4.0,86.0
OPPO,10%,990000.0,OPPO A37 GARANSI 1 TAHUN,2.0,3.0
OPPO,2%,1959020.0,OPPO F5 Smartphone - Dashing Blue [32GB/4GB],4.0,3.0
OPPO,0%,3599000.0,"Oppo F5 Youth (Gold, 32 GB)",4.0,5.0
OPPO,7%,2599000.0,"Oppo A31 (Fantasy White, 128 GB)",0.0,0.0
OPPO,0%,6960000.0,OPPO Reno Smartphone [128GB/ 6GB],4.0,10.0
OPPO,7%,3499000.0,OPPO F1S Smartphone - Gold + Oppo Selfie Stick,4.0,43.0
OPPO,0%,1799000.0,OPPO A1K Smartphone [32GB/ 2GB] RESMI OPPO,0.0,0.0
OPPO,0%,1699000.0,OPPO A1K,0.0,0.0
OPPO,8%,1925000.0,Oppo A5S,4.0,31.0
OPPO,0%,1999000.0,OPPO A5S,4.0,3.0
OPPO,6%,1689000.0,OPPO A1K Smartphone [32GB/ 2GB] GARANSI OPPO INDONESIA,5.0,1.0
OPPO,7%,3499000.0,Oppo F1S Smartphone - Gold + Free Oppo Selfie Stick,4.0,134.0
OPPO,0%,1799000.0,OPPO A1K Smartphone [32GB/ 2GB] GARANSI RESMI OPPO INDONESIA,5.0,2.0
OPPO,0%,2099000.0,OPPO A5s Smartphone [2 GB/32GB/ Original/ Garansi Resmi OPPO],5.0,2.0
OPPO,10%,3397000.0,Oppo F1S Smartphone - Rose Gold + Free Oppo Selfie Stick,5.0,1.0
OPPO,7%,3499000.0,Oppo F1S Smartphone - Rose Gold + Free Oppo Selfie Stick,4.0,17.0
OPPO,5%,2350000.0,OPPO A5 2020 Smartphone,0.0,0.0
OPPO,0%,2099900.0,OPPO A5S Smartphone [32 GB/ 3 GB] - Garansi Resmi Oppo Indonesia,0.0,0.0
OPPO,3%,4847000.0,Oppo Reno 2F 128GB,0.0,0.0
OPPO,3%,4847000.0,Oppo Reno 2F 128GB,0.0,0.0
OPPO,3%,4847000.0,Oppo Reno 2F 128GB,0.0,0.0
OPPO,0%,1349000.0,"Oppo A39 (Gold, 32 GB)",3.0,32.0
OPPO,0%,1650000.0,"Oppo A71 (Black, 16 GB)",4.0,18.0
OPPO,8%,1839080.0,"Oppo A83 (Gold, 16 GB)",4.0,153.0
REALME,2%,7599000.0,"Realme X2 Pro (Neptune Blue, 256 GB)",3.0,10.0
REALME,7%,2039000.0,"Realme 5i (Ocean Blue, 64 GB)",4.0,245.0
REALME,9%,2450000.0,"Realme 5 (Crystal Purple, 128 GB)",4.0,147.0
REALME,0%,4599000.0,realme 6 Pro Smartphone [8GB/ 128GB/ Official Store] + realme Powerbank 10.000 Mah + Indosat Stater Pack 25 GB,4.0,204.0
REALME,0%,2199000.0,"Realme 5 (Crystal Blue, 64 GB)",4.0,285.0
REALME,0%,2199000.0,Realme 5i Smartphone [4GB - 64GB],4.0,279.0
REALME,5%,1792500.0,"Realme C3 (Frozen Blue, 32 GB)",4.0,76.0
REALME,9%,1999000.0,"Realme 5 (Crystal Purple, 64 GB)",4.0,300.0
REALME,7%,1482000.0,"Realme C2 (Diamond Blue, 32 GB)",4.0,2129.0
REALME,5%,1792500.0,"Realme C3 (Blazing Red, 32 GB)",4.0,76.0
REALME,8%,4199000.0,realme 6 Pro Smartphone [8GB/ 128GB]+ Free Indosat Stater Pack [25 GB]  + Free Sennheiser HD 100 - Garansi Resmi,4.0,12.0
REALME,0%,1315000.0,Realme 2 32 GB Smartphone,5.0,1.0
REALME,0%,1490000.0,"Realme C1 (Blue, 16 GB)",4.0,1577.0
REALME,0%,1499000.0,"Realme C1 (Black, 16 GB)",4.0,1577.0
REALME,18%,1799000.0,"Realme 2 (Diamond Red, 32 GB)",4.0,98.0
REALME,14%,1890000.0,"Realme 3 (Radiant Blue, 32 GB)",4.0,683.0
REALME,4%,1899000.0,"Realme 3 (Dynamic Black, 32 GB)",4.0,12.0
REALME,13%,1899000.0,"Realme 2 (Diamond Black, 32 GB)",4.0,98.0
REALME,13%,1999000.0,"Realme 2 (Diamond Red, 64 GB)",4.0,98.0
REALME,16%,1999000.0,"Realme 3 (Dynamic Black, 64 GB)",4.0,685.0
REALME,16%,1999000.0,"Realme 3 (Radiant Blue, 64 GB)",4.0,685.0
REALME,21%,2049000.0,"Realme 2 (Diamond Blue, 64 GB)",4.0,98.0
REALME,0%,2050000.0,"Realme 5 (Crystal Purple, 32 GB)",4.0,234.0
REALME,0%,2099000.0,"Realme 2 (Diamond Black, 64 GB)",4.0,98.0
REALME,9%,2450000.0,"Realme 5 (Crystal Blue, 128 GB)",4.0,147.0
REALME,5%,3223000.0,"Realme XT (Pearl Blue, 128 GB)",4.0,31.0
REALME,0%,3235000.0,"Realme 6 (Comet Blue, 128 GB)",5.0,1.0
REALME,4%,3253000.0,"Realme 6 (Comet White, 128 GB)",5.0,1.0
REALME,22%,3399000.0,"Realme XT (Pearl White, 128 GB)",4.0,59.0
REALME,0%,3749000.0,"Realme X (Space Blue, 128 GB)",5.0,9.0
REALME,5%,3799000.0,"Realme X (Polar White, 128 GB)",5.0,9.0
REALME,17%,3699000.0,Realme 5 Pro Smartphone [8GB/ 128GB] Official Store Garansi Resmi Realme Indonesia 1 Tahun,0.0,0.0
VIVO,13%,4750000.0,VIVO V19 Smartphone [256 GB/ 8 GB] + Free Bag & Speaker Bluetooth,0.0,0.0
VIVO,0%,3199000.0,VIVO Y19 Smartphone [128GB/8GB],0.0,0.0
VIVO,1%,2785000.0,"Vivo Y19 (Spring White, 128 GB)",4.0,45.0
VIVO,7%,1855300.0,VIVO Y12 Smartphone [32 GB/ 3 GB] Burgundy Red,4.0,319.0
VIVO,0%,1700000.0,VIVO Y91C Smartphone [32GB/ 2GB],4.0,360.0
VIVO,0%,2999000.0,VIVO S1 Smartphone [128GB/ 4GB],4.0,122.0
VIVO,0%,1849000.0,VIVO Y12 Smartphone [32GB/ 3GB] + Free VR Box Lenovo Original,4.0,25.0
VIVO,10%,3240000.0,"Vivo Z1 Pro (Sonic Black, 128 GB)",4.0,132.0
VIVO,0%,2099000.0,VIVO Y12 Smartphone [64GB/ 3GB],4.0,210.0
VIVO,0%,2999000.0,VIVO Y19 Smartphone [128GB/6GB],4.0,72.0
VIVO,0%,2499000.0,"Vivo Y15 (Black, 4 GB)",0.0,0.0
VIVO,0%,1899000.0,VIVO Y12 Smartphone [32GB/3GB] + Free Speaker JBL + Bag + HF Bluetooth,4.0,5.0
